track_id,track_name,duration_minutes,popularity,explicit,primary_artist,all_artists,artist_count,artist_popularity,artist_followers,primary_genres,all_genres,genre_count,album_name,album_type,release_date,market,source_id,content_source,is_collaboration,is_recent,popularity_tier,duration_category
2kKIqB9PBn3aLkprms6oWM,Nobody,4.73,26,false,Ardhito Pramono,Ardhito Pramono,1,55,1155080,indonesian jazz,indonesian indie | indonesian jazz,2,Roadtrip,album,2024-05-17T00:00:00.000+07:00,AD,6udjCLHRuFO5Yjxy2pBlky,new_releases,false,true,Niche,Long
76LJNZFUi9NOGkpZnIIRVX,Beautiful nightmare (interlude),0.86,34,false,AMEE,AMEE,1,56,1652522,v-pop,v-pop | vietnam indie | vietnamese hip hop,3,MỘNGMEE,single,2024-08-02T00:00:00.000+07:00,AE,2Wxld2nOotB59y33f2xrBU,new_releases,false,true,Niche,Short
0FxhxzAZGcUc9YTAdlaTQo,Hideaway,4.61,64,false,Cigarettes After Sex,Cigarettes After Sex,1,83,17261912,dream pop,dream pop,1,X's,album,2024-07-12T00:00:00.000+07:00,AG,10i6evsxSFs2fuPQRWvI6I,new_releases,false,true,Popular,Long
3x7b6Uah1ha4uhSM0viUmn,Raze the Bar - Stripped,3.1,14,false,Travis,Travis,1,58,1148669,britpop,britpop,1,L.A. Times,album,2024-07-12T00:00:00.000+07:00,AG,7wYyR1xrLO0uWxBlanysNT,new_releases,false,true,Underground,Standard
6M3RefTc2jELfN7PoCFPza,New Feeling,4.29,40,false,Pamungkas,Pamungkas,1,71,6820870,indonesian indie,indonesian indie | indonesian pop,2,New Feeling,single,2024-06-27T00:00:00.000+07:00,AG,4tSmSKg7v1BYVuKzcyOFDs,new_releases,false,true,Moderate,Long
2kKIqB9PBn3aLkprms6oWM,Nobody,4.73,26,false,Ardhito Pramono,Ardhito Pramono,1,55,1155080,indonesian jazz,indonesian indie | indonesian jazz,2,Roadtrip,album,2024-05-17T00:00:00.000+07:00,AG,6udjCLHRuFO5Yjxy2pBlky,new_releases,false,true,Niche,Long
4N5J0XZhaNro1JFUbzc6oH,Siêu Nhân Ngao,3.2,47,true,Wxrdie,Wxrdie | 24k.Right,2,60,687456,vietnamese hip hop,v-pop | vietnamese hip hop,2,THE WXRDIES,album,2024-11-12T00:00:00.000+07:00,AL,1wmnEWgcDdCcOujQpLwYxc,new_releases,true,true,Moderate,Standard
3MlLMBQxcbhAToQvMYiRoB,Little Time For Love,4.28,37,false,Ardhito Pramono,Ardhito Pramono,1,55,1155080,indonesian jazz,indonesian indie | indonesian jazz,2,Roadtrip,album,2024-05-17T00:00:00.000+07:00,AL,6udjCLHRuFO5Yjxy2pBlky,new_releases,false,true,Niche,Long
3kkrXydZaaor24348eYbIp,Renaissance Man,2.37,10,false,Jinan Laetitia,Jinan Laetitia,1,16,3516,indonesian r&b,indie jazz | indonesian jazz | indonesian r&b,3,Renaissance Man,single,2024-08-23T00:00:00.000+07:00,AM,3fiZhTVA6QGTc7Xw0uSXom,new_releases,false,true,Underground,Standard
4iW5OTwRAYZOQO0YjErC77,problems,2.1,16,false,Reikko,Reikko,1,30,6579,indonesian r&b,hyperpop | indonesian r&b,2,problems,single,2024-01-26T00:00:00.000+07:00,AM,2clG6lWFZZFyIl3prBhXEV,new_releases,false,true,Underground,Standard
